id. Response ID,submitdate. Date submitted,Month Year[subm...Date submitted],Month[Month Yea...ate submitted]],Year[Month Year...ate submitted]],lastpage. Last page,Carmain,Previous PHEVs,Previous BEVs,Previous HEVs,Previous CNGs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Home Type (detached 1),Highest Level of Education,Longest trip in the last 12 months,Number of trips over 200 miles in the last 12 months,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual VMT Estimate ,"FCV, BEV Dummy",,,,,,,
FCV_1_3,2017/06/02 11:30:57,06/2017,6,2017,42,2016 Toyota Mirai,1,0,0,0,275000,2.52,1,1,3,483.14,0,0.01,2,65,0,2,14622,0,,,,,,,
FCV_1_4,2017/06/02 11:15:39,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,275000,2.76,1,1,4,568.09,1,10.69,3,65,0,3,9197.142857,0,,,,,,,
FCV_1_2,2017/06/02 10:51:59,06/2017,6,2017,42,2016 Toyota Mirai,1,1,0,0,,,1,1,4,398.57,0,9.39,5,55,1,4,15360,0,,,,,,,
FCV_1_5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
FCV_1_15,2017/06/02 19:35:59,06/2017,6,2017,42,2017 Toyota Mirai,1,0,0,0,125000,2.6,1,1,2,255.16,0,17.63,2,55,0,3,5082.352941,0,,,,,,,
FCV_1_8,2017/06/06 12:11:14,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,175000,1.23,1,1,4,312.78,1,3.53,2,75,0,2,13025.45455,0,,,,,,,
FCV_1_10,,,,,0,,,,,,,,,,,,,,,,,1,,,,,,,,,
FCV_1_11,2017/06/02 15:57:08,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,500000,1.08,1,1,2,125.79,1,28.05,3,45,0,3,18000,0,,,,,,,
FCV_1_14,2017/06/02 18:51:34,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,0,125000,2.44,1,1,3,118.02,0,13.35,4,45,0,2,13224,0,,,,,,,
FCV_1_16,2017/06/03 11:05:57,06/2017,6,2017,42,2017 Honda Clarity,1,0,1,0,225000,1.44,1,1,3,111.87,1,34.77,4,45,0,3,16080,0,,,,,,,
